"","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig_LFC1","sig_LFC2","sig_LFC3"
"BCL6",0.238604324376475,9.2052647990874,0.627250793684904,0.533824334242566,0.95197250046787,-4.9368262672911,"Not Significant","Not Significant","Not Significant"
"ETNK2",-0.152924949937859,7.49992662219248,-0.626791426940375,0.53412259621377,0.95197250046787,-4.93700186466624,"Not Significant","Not Significant","Not Significant"
"NFE2L2",-0.118878868475513,8.47261204917748,-0.626704565938546,0.534179003936705,0.95197250046787,-4.93703505402844,"Not Significant","Not Significant","Not Significant"
"SEC61B",-0.103147915303842,8.64746819810348,-0.626680184336269,0.534194837961797,0.95197250046787,-4.93704436936931,"Not Significant","Not Significant","Not Significant"
"HOXB2",-0.510997548418235,9.96632027248385,-0.626469797460989,0.534331478676001,0.95197250046787,-4.93712473601925,"Not Significant","Not Significant","Not Significant"
"TSC22D4",-0.188062962676106,7.17259224982946,-0.625845311657253,0.534737173247728,0.95197250046787,-4.93736313132976,"Not Significant","Not Significant","Not Significant"
"CAV3",0.101907341613519,7.82663534746276,0.625447199977669,0.534995888771081,0.95197250046787,-4.93751498814162,"Not Significant","Not Significant","Not Significant"
"MLF2",0.180092458380024,11.2188980877548,0.625355487872428,0.535055497752863,0.95197250046787,-4.93754995771134,"Not Significant","Not Significant","Not Significant"
"MUC1",-0.363787837519028,11.3788293425355,-0.625341932452184,0.535064308495659,0.95197250046787,-4.93755512593126,"Not Significant","Not Significant","Not Significant"
"MYBL2",0.211532034427885,8.90622941695587,0.625304557343121,0.535088601935833,0.95197250046787,-4.93756937522141,"Not Significant","Not Significant","Not Significant"
"TMCO6",-0.189682495639944,8.71149521581508,-0.625074473538758,0.535238166746324,0.95197250046787,-4.93765707657059,"Not Significant","Not Significant","Not Significant"
"TCERG1",-0.162586716255317,7.12852925618092,-0.625062037290213,0.535246251488111,0.95197250046787,-4.93766181601578,"Not Significant","Not Significant","Not Significant"
"CSDE1",-0.145866350449831,11.229581104503,-0.625028125294243,0.535268297827673,0.95197250046787,-4.93767473938555,"Not Significant","Not Significant","Not Significant"
"WDR11",-0.235844714080749,8.81184716660178,-0.624831829631247,0.535395919822034,0.95197250046787,-4.93774953138796,"Not Significant","Not Significant","Not Significant"
"COX8A",0.113411394996815,12.4400210226139,0.624790948341559,0.535422500866834,0.95197250046787,-4.93776510497688,"Not Significant","Not Significant","Not Significant"
"BAG6",0.0875571223758963,9.99565537019984,0.624682945789611,0.535492727518184,0.95197250046787,-4.93780624340535,"Not Significant","Not Significant","Not Significant"
"SEC24C",0.178580267075873,10.2225105861001,0.624594860920272,0.535550006624282,0.95197250046787,-4.93783979000872,"Not Significant","Not Significant","Not Significant"
"ATP6V0A2",0.112024882435169,6.79808341067921,0.62453642179309,0.535588009703919,0.95197250046787,-4.93786204366146,"Not Significant","Not Significant","Not Significant"
"TMEM230",0.178401441871858,11.2756430342908,0.624446237392157,0.53564665955794,0.95197250046787,-4.93789638194946,"Not Significant","Not Significant","Not Significant"
"GOLGB1",-0.168638495868632,9.60039413567885,-0.624381462204264,0.535688787039872,0.95197250046787,-4.93792104253418,"Not Significant","Not Significant","Not Significant"
"SND1",0.164523874902851,11.3651408715616,0.624307383733476,0.535736967164602,0.95197250046787,-4.9379492419184,"Not Significant","Not Significant","Not Significant"
"RER1",-0.1726485371441,9.95235895372033,-0.623937694556347,0.535977444221914,0.95197250046787,-4.93808992240943,"Not Significant","Not Significant","Not Significant"
"RASSF7",0.17083375886087,9.97618969754654,0.623725436486257,0.53611554021877,0.95197250046787,-4.9381706577968,"Not Significant","Not Significant","Not Significant"
"DHRS7",0.0959881120660585,7.42407852827654,0.623556300113439,0.536225594331895,0.95197250046787,-4.93823497206018,"Not Significant","Not Significant","Not Significant"
"LZTS3",0.21919970416227,9.64657919581057,0.623451417956548,0.536293845251038,0.95197250046787,-4.93827484505689,"Not Significant","Not Significant","Not Significant"
"KIAA1614",0.101425130704858,7.06229090771668,0.623331995355003,0.536371563716697,0.95197250046787,-4.9383202379261,"Not Significant","Not Significant","Not Significant"
